Key,Value,Type
owners[newGodOwner] = true,2,Extra gas consumption
p3dContract,12,Extra gas consumption
parameter_type,16,Extra gas consumption
parentInterface,5,Extra gas consumption
parentKey,36,Extra gas consumption
partNum,58,Extra gas consumption
pause = _pause,2,Extra gas consumption
pay_gem,37,Extra gas consumption
payout_ids.push(payout_id),1,Extra gas consumption
"payouts[payout_id] = PayoutBlock({block_id:block.number,amount:amount,minted_tokens:minted_tokens})",1,Extra gas consumption
payroll,3,Extra gas consumption
pendingOwner = newOwner,9,Extra gas consumption
pendingReturns,7,Extra gas consumption
per,6,Extra gas consumption
percent,29,Extra gas consumption
percent = 0,8,Extra gas consumption
periodDuration,2,Extra gas consumption
periodsToUnlock,4,Extra gas consumption
perseus,7,Extra gas consumption
petGrade,2,Extra gas consumption
petInfo,3,Extra gas consumption
petSeats = seatsByGrade(petGrade),2,Extra gas consumption
petSupply,3,Extra gas consumption
petSyncEnabled,2,Extra gas consumption
phases[i].startDate <= now && now <= phases[i].endDate,1,Extra gas consumption
pkAddr,4,Extra gas consumption
placeCount,3,Extra gas consumption
placedBets,129,Extra gas consumption
placedBets[betNumber].validated = true,40,Extra gas consumption
places,5,Extra gas consumption
plan,7,Extra gas consumption
playerA,10,Extra gas consumption
playerB,1,Extra gas consumption
playerB = msg.sender,1,Extra gas consumption
playerB.transfer(msg.value - punt),1,Extra gas consumption
"playerLose(players[i],loser)",1,Extra gas consumption
playerVault,4,Extra gas consumption
playerVault[msg.sender] = 0,2,Extra gas consumption
playerVault[placedBets[betNumber].maker] = playerVault[placedBets[betNumber].maker].add(placedBets[betNumber].betSize),18,Extra gas consumption
playerVault[placedBets[betNumber].taker] = playerVault[placedBets[betNumber].taker].add(placedBets[betNumber].betSize),2,Extra gas consumption
playerWin(players[i]),1,Extra gas consumption
players[i].send(1200000000000000000),1,Extra gas consumption
plyrCurrDayPerformance_,18,Extra gas consumption
pos,19,Extra gas consumption
price,231,Extra gas consumption
prices,2,Extra gas consumption
prize,8,Extra gas consumption
proc,1,Extra gas consumption
proc == 1,1,Extra gas consumption
proxyToken,2,Extra gas consumption
publicSupply,21,Extra gas consumption
punt,2,Extra gas consumption
quantity,42,Extra gas consumption
queue,6,Extra gas consumption
rID_,18,Extra gas consumption
randNonce,4,Extra gas consumption
randNonce ++,2,Extra gas consumption
random,26,Extra gas consumption
"random = uint256(keccak256()(abi.encodePacked(now,randNonce))) % range + 1",2,Extra gas consumption
random_seed,1,Extra gas consumption
randoms,3,Extra gas consumption
rate,27,Extra gas consumption
rebatePeriod_,12,Extra gas consumption
receiver,1,Extra gas consumption
receiver = TokenFallback(_to),1,Extra gas consumption
"receiver.tokenFallback(msg.sender,_value,_data)",1,Extra gas consumption
receivers,4,Extra gas consumption
reciever,6,Extra gas consumption
reciever = msg.sender,2,Extra gas consumption
recipents,12,Extra gas consumption
recipient,35,Extra gas consumption
recipients,42,Extra gas consumption
recountUsersBalance(),1,Extra gas consumption
recoveryAddressChangeLogs,2,Extra gas consumption
recoveryLogs,2,Extra gas consumption
recoveryTimeout,2,Extra gas consumption
referrer,6,Extra gas consumption
refund,7,Extra gas consumption
registry,3,Extra gas consumption
registry[_name].balance = registry[_name].balance.add(msg.value),1,Extra gas consumption
registry[_name].owner = _to,1,Extra gas consumption
registry[_name].owner == address(0),1,Extra gas consumption
registry[_name].owner.transfer(msg.value),1,Extra gas consumption
releaseAmount,53,Extra gas consumption
releaseTime,4,Extra gas consumption
remaining,10,Extra gas consumption
remainsToContribute,4,Extra gas consumption
request,3,Extra gas consumption
requestMinimum,110,Extra gas consumption
requested,7,Extra gas consumption
require(bool)(! canMint && now >= nextMintPossibleDate),1,Extra gas consumption
require(bool)(! hardCapReached),1,Extra gas consumption
"require(bool)(Token(token).transferFrom(vault,msg.sender,amount))",2,Extra gas consumption
require(bool)(_addr_appc != 0x0),1,Extra gas consumption
require(bool)(_addrs.length == _values.length && _addrs.length <= 100),1,Extra gas consumption
require(bool)(_dev != 0x0),1,Extra gas consumption
require(bool)(_implementation != address(0)),2,Extra gas consumption
require(bool)(_newCEO != address(0)),2,Extra gas consumption
require(bool)(_newOwner != address(0)),50,Extra gas consumption
require(bool)(_owners.length == _tokens.length),2,Extra gas consumption
require(bool)(_receivers.length == _values.length && _receivers.length >= 1),1,Extra gas consumption
require(bool)(_recipients.length > 0),5,Extra gas consumption
require(bool)(_to != 0x0),1,Extra gas consumption
require(bool)(_to != address(0)),2,Extra gas consumption
require(bool)(_tos.length > 0),9,Extra gas consumption
require(bool)(_userlist.length > 0),2,Extra gas consumption
require(bool)(_votes.length == itemCount),2,Extra gas consumption
require(bool)(allowed[from][msg.sender] >= value && balances[from] >= value && value > 0),3,Extra gas consumption
"require(bool)(appc.allowance(msg.sender,address(this)) >= _amount)",1,Extra gas consumption
require(bool)(balanceOf[_from] >= _value),1,Extra gas consumption
require(bool)(balanceOf[_to] + _value > balanceOf[_to]),1,Extra gas consumption
require(bool)(balances[msg.sender] >= value && value > 0),6,Extra gas consumption
require(bool)(canTransferBalance(msg.sender) >= _value),4,Extra gas consumption
require(bool)(checkAddressMisused(to) != true),2,Extra gas consumption
require(bool)(divs > 0),1,Extra gas consumption
require(bool)(entries_count > 0),1,Extra gas consumption
require(bool)(item.owner == msg.sender || item.owner == 0x0),1,Extra gas consumption
require(bool)(list.length != 0),1,Extra gas consumption
require(bool)(list.length <= MAX_RECIPIENTS),1,Extra gas consumption
require(bool)(locks[_holder] == false),9,Extra gas consumption
require(bool)(mainToken.balanceOf(address(this)) >= allowance),1,Extra gas consumption
"require(bool)(mainToken.transfer(msg.sender,allowance))",1,Extra gas consumption
require(bool)(msg.sender != playerA),1,Extra gas consumption
require(bool)(msg.sender == 0x9797055B68C5DadDE6b3c7d5D80C9CFE2eecE6c9),1,Extra gas consumption
require(bool)(msg.sender == address(token)),1,Extra gas consumption
require(bool)(msg.sender == owner),2,Extra gas consumption
require(bool)(msg.value > 0),10,Extra gas consumption
require(bool)(msg.value >= 1000000000000000),1,Extra gas consumption
require(bool)(msg.value >= MIN_CONTRIBUTION),9,Extra gas consumption
require(bool)(msg.value >= punt),1,Extra gas consumption
require(bool)(myAddresses.length > 0),1,Extra gas consumption
require(bool)(newControlWallet != address(0)),18,Extra gas consumption
require(bool)(newFundWallet != address(0)),18,Extra gas consumption
require(bool)(newOwner != address(0)),8,Extra gas consumption
require(bool)(new_owner != 0x0),10,Extra gas consumption
require(bool)(now > startDate),10,Extra gas consumption
require(bool)(now >= start && now < end),2,Extra gas consumption
require(bool)(payouts[payout_id].block_id == 0),2,Extra gas consumption
"require(bool)(proxyToken.transferFrom(msg.sender,address(this),allowance))",1,Extra gas consumption
require(bool)(registry[_name].expires < now),1,Extra gas consumption
require(bool)(registry[_name].owner == msg.sender),1,Extra gas consumption
require(bool)(releaseTime > getTime()),2,Extra gas consumption
"require(bool)(rightAndRoles.onlyRoles(msg.sender,3))",12,Extra gas consumption
require(bool)(success),3,Extra gas consumption
"require(bool)(super.transferFrom(from,to,value))",1,Extra gas consumption
require(bool)(target.call.value(msg.value)()),1,Extra gas consumption
require(bool)(to.length <= 100),1,Extra gas consumption
require(bool)(to.length == tokens.length),1,Extra gas consumption
require(bool)(to.length > 0),1,Extra gas consumption
require(bool)(toAddressList.length == amountList.length),3,Extra gas consumption
require(bool)(token.burn(_value)),1,Extra gas consumption
"require(bool)(token.transferFrom(from,to,value))",2,Extra gas consumption
require(bool)(tokenExists[_tokenId]),3,Extra gas consumption
require(bool)(value <= totalRemaining),7,Extra gas consumption
require(bool)(voters[voter].weight == 0),2,Extra gas consumption
require(bool)(wallets[msg.sender].freezedAmount > 0 && now >= wallets[msg.sender].unfreezeDate),3,Extra gas consumption
"require(bool,string)(! voters[voter].voted,The voter already voted.)",2,Extra gas consumption
"require(bool,string)(OwnerManager(manager).isOwner(msg.sender),Method can only be called by an owner)",1,Extra gas consumption
"require(bool,string)(_auctioneer != address(0),The auctioneer must be a valid address)",3,Extra gas consumption
"require(bool,string)(amount > 0,Invalid amount provided)",1,Extra gas consumption
"require(bool,string)(colorIndex < coloredTokens.length,Invalid color index)",4,Extra gas consumption
"require(bool,string)(currentYear < secondsSinceRelease / (365 * 86400),Cannot update year yet)",2,Extra gas consumption
"require(bool,string)(i <= 6 && i >= 0,Error: Invalid Piecewise Logic)",1,Extra gas consumption
"require(bool,string)(isUnderLimit(token,amount),Daily limit has been reached)",1,Extra gas consumption
"require(bool,string)(manager.execTransactionFromModule(to,amount,,Enum.Operation.Call),Could not execute ether transfer)",1,Extra gas consumption
"require(bool,string)(msg.sender == chairperson,Only chairperson can give right to vote.)",2,Extra gas consumption
"require(bool,string)(to != 0,Invalid to address provided)",1,Extra gas consumption
"require(bool,string)(total_investors < max_investors,Max Investors Hit)",1,Extra gas consumption
res,5,Extra gas consumption
"res = _addr[i].call(bytes4(keccak256()(updateInfo(uint256,uint256,uint256))),_ETHUSD[i],_token[i],_value[i])",1,Extra gas consumption
reserved,9,Extra gas consumption
resetResolvers,4,Extra gas consumption
restricted,2,Extra gas consumption
result,6,Extra gas consumption
result = false,1,Extra gas consumption
revert()(),60,Extra gas consumption
revert(string)(params error),6,Extra gas consumption
rightAndRoles,10,Extra gas consumption
roulette,4,Extra gas consumption
round,2,Extra gas consumption
round1,66,Extra gas consumption
round2,66,Extra gas consumption
roundIndex,2,Extra gas consumption
roundNumber,1,Extra gas consumption
rounds,10,Extra gas consumption
s = s + base.mul(nDay.mul(nDay).mul(35).div(10000)) + base.mul(nDay.mul(4589).div(10000)),1,Extra gas consumption
s = start,1,Extra gas consumption
sacrifice,14,Extra gas consumption
safeAddress,4,Extra gas consumption
sale,4,Extra gas consumption
saleBalance,6,Extra gas consumption
score,3,Extra gas consumption
secondsSinceRelease,2,Extra gas consumption
secondsSinceRelease = block.timestamp - FIRST_YEAR_TIMESTAMP,2,Extra gas consumption
seed,13,Extra gas consumption
self,3,Extra gas consumption
selfPtr,3,Extra gas consumption
sellPrice,2,Extra gas consumption
set,1,Extra gas consumption
shares,3,Extra gas consumption
signer1,4,Extra gas consumption
signer2,4,Extra gas consumption
signerSet,1,Extra gas consumption
sire,20,Extra gas consumption
snapshot,15,Extra gas consumption
snapshots,20,Extra gas consumption
solid,7,Extra gas consumption
soulCap = _value,1,Extra gas consumption
soulReward0 = _value0,1,Extra gas consumption
soulReward1 = _value1,1,Extra gas consumption
soulReward2 = _value2,1,Extra gas consumption
source,4,Extra gas consumption
spend,36,Extra gas consumption
src,18,Extra gas consumption
srcAmt,14,Extra gas consumption
stage,2,Extra gas consumption
stage = block.number.sub(tgrStartBlock).div(tgrSettingsBlocksPerStage),2,Extra gas consumption
stageToFinalize,38,Extra gas consumption
start,3,Extra gas consumption
startDate,10,Extra gas consumption
startIndex,14,Extra gas consumption
startIndex = currentBatch * addrPerStep,14,Extra gas consumption
startLockTime,4,Extra gas consumption
startTime,5,Extra gas consumption
startTokenBalance,3,Extra gas consumption
startingLength,4,Extra gas consumption
state,5,Extra gas consumption
state = states[_addr[i]],1,Extra gas consumption
store,6,Extra gas consumption
success,613,Extra gas consumption
"super.transfer(dst,wad)",1,Extra gas consumption
swaps,1,Extra gas consumption
"swaps.push(Swap(msg.sender,allowance))",1,Extra gas consumption
synchronized(),9,Extra gas consumption
target,4,Extra gas consumption
target.transfer(amount),1,Extra gas consumption
tempBonus,80,Extra gas consumption
tempPR,56,Extra gas consumption
tgrAmountCollected,4,Extra gas consumption
tgrSettingsAmount,3,Extra gas consumption
tgrSettingsPartProject,3,Extra gas consumption
this,48,Extra gas consumption
this.enableModule(module),1,Extra gas consumption
this_god_listed,4,Extra gas consumption
ticketIndex,10,Extra gas consumption
time,3,Extra gas consumption
time = 99999999999,8,Extra gas consumption
timeGone(index) == true,4,Extra gas consumption
timeGone(index) == true && getTokensBalance(index) >= airdrop.tokenAmount,2,Extra gas consumption
timeLock,20,Extra gas consumption
timer,50,Extra gas consumption
timer < placedBets[betNumber].betEnd && _ended == true,2,Extra gas consumption
timer < placedBets[betNumber].betEnd && round > placedBets[betNumber].round,8,Extra gas consumption
timer = now,14,Extra gas consumption
timer >= placedBets[betNumber].betEnd,18,Extra gas consumption
timer >= toCheck.betEnd,2,Extra gas consumption
timestamp,168,Extra gas consumption
timestamps,1,Extra gas consumption
to == _bridgeContract,2,Extra gas consumption
to.transfer(amount),1,Extra gas consumption
to.transfer(msg.value),1,Extra gas consumption
toAddressList,11,Extra gas consumption
toAddressList[i].transfer(amountList[i]),3,Extra gas consumption
toCheck,11,Extra gas consumption
toGive,72,Extra gas consumption
toGive = value,30,Extra gas consumption
toGive > 0,1,Extra gas consumption
toMapOption,10,Extra gas consumption
toReturn,4,Extra gas consumption
toVoter,2,Extra gas consumption
todayNo,376,Extra gas consumption
tokOwner,4,Extra gas consumption
token,89,Extra gas consumption
token = 0,1,Extra gas consumption
token = ERC20Interface(tokenAddress),4,Extra gas consumption
token = ERC20Interface(tokens[i]),2,Extra gas consumption
token = Token(_tokenAddress),2,Extra gas consumption
token = Token(source),4,Extra gas consumption
token == 0,1,Extra gas consumption
"token.transfer(_contractOwner,balance)",2,Extra gas consumption
"token.transfer(_recipients[j],_values)",1,Extra gas consumption
"token.transfer(receivers[i],balances[i])",2,Extra gas consumption
"token.transfer(recipient[i],amount)",1,Extra gas consumption
"token.transfer(recipient[i],amount[i])",1,Extra gas consumption
"token.transfer(recipients[i],value * 100000)",1,Extra gas consumption
"token.transfer(recipients[i],values[i])",1,Extra gas consumption
tokenAddress,13,Extra gas consumption
tokenContract,66,Extra gas consumption
tokenConversionFactor,6,Extra gas consumption
tokenExists,3,Extra gas consumption
tokenInstance,24,Extra gas consumption
tokenInstance = ERC20(token),12,Extra gas consumption
tokenList,14,Extra gas consumption
tokenLockInfo,5,Extra gas consumption
tokenNumber,9,Extra gas consumption
tokenOwners,1,Extra gas consumption
tokenOwners[_tokenId] = newOwner,2,Extra gas consumption
tokenQty,4,Extra gas consumption
tokenReward,10,Extra gas consumption
tokenToUnlock,5,Extra gas consumption
tokenToUnlock = locked.balance,2,Extra gas consumption
tokenTotalSupply,2,Extra gas consumption
tokens,437,Extra gas consumption
tokens = 0,11,Extra gas consumption
tokens = tokensPerEth.mul(msg.value) / 1000000000000000000,2,Extra gas consumption
tokensNum,3,Extra gas consumption
tokensPerEth,3,Extra gas consumption
tokensProject,3,Extra gas consumption
tos,18,Extra gas consumption
total,6,Extra gas consumption
total += msg.value,1,Extra gas consumption
total = set,1,Extra gas consumption
totalAmount,1,Extra gas consumption
totalAmount = amount.mul(totalList),1,Extra gas consumption
totalBalace,4,Extra gas consumption
totalBounties,1,Extra gas consumption
totalBounties = (totalSupply.div(100)).mul(10),1,Extra gas consumption
totalDistributed = totalReserved.add(totalBounties),1,Extra gas consumption
totalList,1,Extra gas consumption
totalList = list.length,1,Extra gas consumption
totalRemaining,8,Extra gas consumption
totalRemaining = totalSupply.sub(totalDistributed),1,Extra gas consumption
totalReserved,1,Extra gas consumption
totalReserved = (totalSupply.div(100)).mul(10),1,Extra gas consumption
totalSupply,15,Extra gas consumption
totalSupply = 1000000000e8,1,Extra gas consumption
totalSupply_,2,Extra gas consumption
totalUSD,2,Extra gas consumption
totalshares,6,Extra gas consumption
totalshares += shares[members[i]],2,Extra gas consumption
toy,4,Extra gas consumption
"transferFrom(msg.sender,dst,wad)",2,Extra gas consumption
transferResult,7,Extra gas consumption
transferResult == true,3,Extra gas consumption
true,219,Extra gas consumption
ttl1,5,Extra gas consumption
tx.origin,1,Extra gas consumption
txcounter,2,Extra gas consumption
txcounter = Tx.length,1,Extra gas consumption
uid,18,Extra gas consumption
"uint256(sha256()(abi.encodePacked(blockhash(uint256)(block.number - places.length - 1),msg.sender,seed += block.difficulty))) % lessThan",1,Extra gas consumption
unitValue,14,Extra gas consumption
unlockQuantity,9,Extra gas consumption
unlockQuantity[_to] = unlockQuantity[_to].add(_value),4,Extra gas consumption
unlockUnit,2,Extra gas consumption
unreleased,5,Extra gas consumption
unsoldAmount,5,Extra gas consumption
updater,2,Extra gas consumption
usb,2,Extra gas consumption
usb = ContractConn(_tokenAddr),2,Extra gas consumption
"usb.transfer(_dests[i],_values[i])",1,Extra gas consumption
useamt = _amttype * (10 ** uint256(decimals)),2,Extra gas consumption
used_tickets,3,Extra gas consumption
user,22,Extra gas consumption
userEtherOf,14,Extra gas consumption
userToIsExisted,2,Extra gas consumption
user[referrer].countReferralsByLevel[level] ++,2,Extra gas consumption
users,2,Extra gas consumption
using_ticket,5,Extra gas consumption
val,1,Extra gas consumption
val = msg.value,1,Extra gas consumption
valFee,6,Extra gas consumption
"valFee = calculateFee(_value,_fee,1000)",3,Extra gas consumption
validationPrice = newPrice,1,Extra gas consumption
value,92,Extra gas consumption
value = totalRemaining,35,Extra gas consumption
value > totalRemaining,35,Extra gas consumption
values,63,Extra gas consumption
vault,4,Extra gas consumption
vectoryId,12,Extra gas consumption
volume,9,Extra gas consumption
voted[voter] = true,2,Extra gas consumption
voter,14,Extra gas consumption
voter = msg.sender,2,Extra gas consumption
voters,11,Extra gas consumption
voters[toVoter].weight = 1,1,Extra gas consumption
voters[voter].weight = 1,2,Extra gas consumption
waiting_prayer,5,Extra gas consumption
wallet,1,Extra gas consumption
wallets[msg.sender].freezedAmount = 0,3,Extra gas consumption
wallets[msg.sender].unfreezeDate = 0,3,Extra gas consumption
weiAmount,30,Extra gas consumption
weiVal,6,Extra gas consumption
whenPaused(),5,Extra gas consumption
whiteListERC20,4,Extra gas consumption
whiteListERC223,2,Extra gas consumption
whiteListStatus,2,Extra gas consumption
win,6,Extra gas consumption
win_amount,4,Extra gas consumption
winnerAddress,2,Extra gas consumption
winnerID,3,Extra gas consumption
winnerlist,2,Extra gas consumption
withdrawable,13,Extra gas consumption
x < _from.length,1,Extra gas consumption
! assertion,1,Integer overflow or underflow
! isContract(_to),2,Integer overflow or underflow
! isLocked() || _sender == owner,3,Integer overflow or underflow
! supportsToken(msg.sender),2,Integer overflow or underflow
(address(0)),4,Integer overflow or underflow
(advisorsTokensIssuedOn[advisorAddress] + 2592000),1,Integer overflow or underflow
(balances[_addr] - _value >= lockSupply / 5 * 2),1,Integer overflow or underflow
(balances[_addr] - _value >= lockSupply / 5),1,Integer overflow or underflow
(length > 0),5,Integer overflow or underflow
(now - prtime[owner]) >= 86400,1,Integer overflow or underflow
"(v,b)",3,Integer overflow or underflow
0x0,1,Integer overflow or underflow
"Approval(msg.sender,_spender,_value)",2,Integer overflow or underflow
Bank,20,Integer overflow or underflow
CCC,3,Integer overflow or underflow
DUTCH_EXCHANGE,2,Integer overflow or underflow
"DUTCH_EXCHANGE.deposit(WETH,msg.value)",1,Integer overflow or underflow
"Deposit(msg.sender,msg.value)",1,Integer overflow or underflow
DueTime,2,Integer overflow or underflow
"ERC20TokenInterface(token).transfer(destination,balance)",4,Integer overflow or underflow
ERC721Construct,3,Integer overflow or underflow
"ERC721Construct = new ERC721Contract(name,symbol)",1,Integer overflow or underflow
ERC721Construct.addMinter(owner),1,Integer overflow or underflow
ERC721Construct.renounceMinter(),1,Integer overflow or underflow
ETHtoP3Dbymasternode[masternode] = 0,2,Integer overflow or underflow
EtherWrapper,14,Integer overflow or underflow
ExtendedMath,2,Integer overflow or underflow
FinishAirDrop(),1,Integer overflow or underflow
FinishPreSale(),1,Integer overflow or underflow
Guesses,1,Integer overflow or underflow
"Lock(_address,_time)",3,Integer overflow or underflow
MaxPlayers = num,1,Integer overflow or underflow
OneCentETH,1,Integer overflow or underflow
OneCentETH = price.USD(0),1,Integer overflow or underflow
P3Dcontract_.buy.value(amt)(masternode),2,Integer overflow or underflow
P3Dcontract_.withdraw(),2,Integer overflow or underflow
Pot,6,Integer overflow or underflow
Premium[msg.sender] = true,1,Integer overflow or underflow
RATE,1,Integer overflow or underflow
RATE = _value,10,Integer overflow or underflow
RDN,1,Integer overflow or underflow
RNGresult,4,Integer overflow or underflow
Raffles,15,Integer overflow or underflow
Raffles[rafnr].validation = true,4,Integer overflow or underflow
SPASM_,2,Integer overflow or underflow
SPASM_.disburse.value(base)(),2,Integer overflow or underflow
STRTToEth,1,Integer overflow or underflow
SafeERC20,3,Integer overflow or underflow
SafeMath,359,Integer overflow or underflow
"SetLock(msg.sender,_owner,_value)",1,Integer overflow or underflow
Spudgame,8,Integer overflow or underflow
States,3,Integer overflow or underflow
Status,1,Integer overflow or underflow
TMP_5,1,Integer overflow or underflow
TimeInSec,2,Integer overflow or underflow
"TokenReceiver(target).tokenFallback(target,qty,data)",2,Integer overflow or underflow
"Transfer(address(this),msg.sender,tokens)",1,Integer overflow or underflow
"Transfer(msg.sender,_recipient,_value)",1,Integer overflow or underflow
"Transfer(msg.sender,_target,_amount)",2,Integer overflow or underflow
"Transfer(msg.sender,_to,_value)",15,Integer overflow or underflow
"Transfer(msg.sender,target,qty)",2,Integer overflow or underflow
"Transfer(owner,msg.sender,tokenValue)",1,Integer overflow or underflow
Tx,11,Integer overflow or underflow
WETH,2,Integer overflow or underflow
WETH.deposit.value(msg.value)(),1,Integer overflow or underflow
WrapperEnabled(),10,Integer overflow or underflow
_MINIMUM_TARGET,2,Integer overflow or underflow
__isTokenFallback = false,4,Integer overflow or underflow
__isTokenFallback = true,2,Integer overflow or underflow
_addr,5,Integer overflow or underflow
_address,79,Integer overflow or underflow
_agent,4,Integer overflow or underflow
_airdrop,2,Integer overflow or underflow
_airdropAmount,65,Integer overflow or underflow
_airdropAmount = _totalRemaining,14,Integer overflow or underflow
_airdropAmount > _totalRemaining,14,Integer overflow or underflow
_airdropTotal < _airdropSupply && ! initialized[_address],14,Integer overflow or underflow
_amount,39,Integer overflow or underflow
_balanceOf,4,Integer overflow or underflow
_balanceOf[msg.sender] -= _value,4,Integer overflow or underflow
_beneficiary,3,Integer overflow or underflow
_buyer,12,Integer overflow or underflow
_card,16,Integer overflow or underflow
_codeLength,1,Integer overflow or underflow
_codeLength > 0,1,Integer overflow or underflow
_contracts,2,Integer overflow or underflow
_data,4,Integer overflow or underflow
_decimals,8,Integer overflow or underflow
_dep,4,Integer overflow or underflow
_depositId,4,Integer overflow or underflow
_eosAddress,2,Integer overflow or underflow
_eth,28,Integer overflow or underflow
_eventData_,66,Integer overflow or underflow
_from,110,Integer overflow or underflow
_game,11,Integer overflow or underflow
_hashDeal,10,Integer overflow or underflow
_index,7,Integer overflow or underflow
_invest,29,Integer overflow or underflow
_isPromoted,16,Integer overflow or underflow
_minter,1,Integer overflow or underflow
_name,18,Integer overflow or underflow
_newOwner,11,Integer overflow or underflow
_newOwner != address(0),1,Integer overflow or underflow
_newRecovery,12,Integer overflow or underflow
_newStatus,7,Integer overflow or underflow
_now,40,Integer overflow or underflow
_owner,24,Integer overflow or underflow
_pID,46,Integer overflow or underflow
_rID,116,Integer overflow or underflow
_rate,1,Integer overflow or underflow
_rateEthJpy,2,Integer overflow or underflow
_recipient,6,Integer overflow or underflow
_result,7,Integer overflow or underflow
_result = true,8,Integer overflow or underflow
"_sell(msg.sender,_value)",1,Integer overflow or underflow
_seller,2,Integer overflow or underflow
_sender,5,Integer overflow or underflow
_sig,1,Integer overflow or underflow
_sig.length != 65,1,Integer overflow or underflow
_spender,8,Integer overflow or underflow
_startBalance,2,Integer overflow or underflow
_startTime,4,Integer overflow or underflow
_symbol,16,Integer overflow or underflow
_time,9,Integer overflow or underflow
_timeFrom,2,Integer overflow or underflow
_to,165,Integer overflow or underflow
_to != address(this),3,Integer overflow or underflow
_toUserMoney,9,Integer overflow or underflow
_tokenReceiver,1,Integer overflow or underflow
_tokenReceiver = ERC223ReceivingContract(_to),1,Integer overflow or underflow
"_tokenReceiver.tokenFallback(msg.sender,_value,_data)",1,Integer overflow or underflow
_tokenURIs[tokenId],4,Integer overflow or underflow
_totalRemaining,28,Integer overflow or underflow
_totalSupply,17,Integer overflow or underflow
_totalSupply = _totalSupply.sub(_value),9,Integer overflow or underflow
"_transfer(msg.sender,_to,_value)",62,Integer overflow or underflow
"_transfer(owner,newOwner,balanceOf[owner])",1,Integer overflow or underflow
"_transfer(this,_to,_value)",1,Integer overflow or underflow
_type,4,Integer overflow or underflow
_type == 4,1,Integer overflow or underflow
_value,252,Integer overflow or underflow
_value = _value * DEC,1,Integer overflow or underflow
_value = balanceOf[_owner],1,Integer overflow or underflow
_value > balanceOf[_owner],1,Integer overflow or underflow
_values,5,Integer overflow or underflow
a <= 250,2,Integer overflow or underflow
account,10,Integer overflow or underflow
active,1,Integer overflow or underflow
adAccount.send(msg.value * 3 / 100),2,Integer overflow or underflow
addr,40,Integer overflow or underflow
addresIndex,2,Integer overflow or underflow
addressFrozenFund,12,Integer overflow or underflow
admRefPerc,6,Integer overflow or underflow
advisorsTokensIssued,1,Integer overflow or underflow
advisorsTokensIssuedOn,4,Integer overflow or underflow
advisorsTokensIssuedOn[advisorAddress] == 0,1,Integer overflow or underflow
advisorsTokensIssued[msg.sender] < advisorsWithEntitledSupply[msg.sender],1,Integer overflow or underflow
advisorsWithEntitledSupply[msg.sender] > 0,1,Integer overflow or underflow
airdrop = _airdrop,2,Integer overflow or underflow
allowed,2,Integer overflow or underflow
allowed[_owner][_spender],12,Integer overflow or underflow
allowed[msg.sender][_spender] = _value,2,Integer overflow or underflow
amount,68,Integer overflow or underflow
amount = 0,2,Integer overflow or underflow
amount = getInvestorDividend(sender),2,Integer overflow or underflow
amount = invested[msg.sender] * (address(this).balance / (invested[msg.sender] * 100)) / 100 * (block.number - atBlock[msg.sender]) / 6100,1,Integer overflow or underflow
amount = invested[msg.sender] * 5 / 100 * (block.number - atBlock[msg.sender]) / 5900,1,Integer overflow or underflow
amount = invested[to] * 5 / 100 * (block.number - atBlock[msg.sender]) / 6170,1,Integer overflow or underflow
amount = invested[to] * 5 / 100 * (block.number - atBlock[to]) / 6170,1,Integer overflow or underflow
amount = msg.value,4,Integer overflow or underflow
amount = msg.value * STRTToEth,1,Integer overflow or underflow
amount >= address(this).balance,2,Integer overflow or underflow
amountA,6,Integer overflow or underflow
amount_eth,1,Integer overflow or underflow
amount_eth += msg.value,1,Integer overflow or underflow
amt,2,Integer overflow or underflow
amt = ETHtoP3Dbymasternode[masternode],2,Integer overflow or underflow
assert(bool)(msg.value == 0),1,Integer overflow or underflow
assert(bool)(remainTokens() >= 500000000000000000000),1,Integer overflow or underflow
"assert(bool)(token.transferFrom(from,to,value))",1,Integer overflow or underflow
assertion,1,Integer overflow or underflow
atBlock,5,Integer overflow or underflow
atBlock[msg.sender] = block.number,3,Integer overflow or underflow
auctionIndex,1,Integer overflow or underflow
b = 0,2,Integer overflow or underflow
b = notTooLongSinceUpdated() && value != 0,3,Integer overflow or underflow
balance,8,Integer overflow or underflow
balance = ERC20TokenInterface(token).balanceOf(address(this)),4,Integer overflow or underflow
balanceOf,35,Integer overflow or underflow
balanceOf[_from] = balanceOf[_from].sub(_value),3,Integer overflow or underflow
balanceOf[_to] = balanceOf[_to].add(_value),3,Integer overflow or underflow
balanceOf[_to].add(_value) <= balanceOf[_to],3,Integer overflow or underflow
balanceOf[msg.sender] = balanceOf[msg.sender].add(tokenValue),1,Integer overflow or underflow
balanceOf[msg.sender] = balanceOf[msg.sender].sub(qty),2,Integer overflow or underflow
balanceOf[owner] = balanceOf[owner].sub(tokenValue),1,Integer overflow or underflow
balanceOf[target] = balanceOf[target].add(qty),2,Integer overflow or underflow
balances,102,Integer overflow or underflow
balances[_address],14,Integer overflow or underflow
balances[_address] + _airdropAmount,14,Integer overflow or underflow
balances[_recipient] += _value,3,Integer overflow or underflow
balances[_target] = balances[_target].add(_amount),4,Integer overflow or underflow
balances[_to] += _value,4,Integer overflow or underflow
"balances[_to] = SafeMath.add(balances[_to],_value)",1,Integer overflow or underflow
